The shape of France.
What is a hexagon?*
What is binary code?
What is a CPU?
What is an operating system?
What is a root?
The capital of France.
What is ASCII?
What is a bus?
What is a computer?
What is Firewire?
What is Paris?*
The country that spans 12 time zones, the most in the world.
What is binary code?
What is a character?
What is France?*
What is a kilobyte?
What is RAM?
The language in the oldest recording of human voice.
What are input devices?
What are output devices?
What is a byte?
What is French?*
What is USB?
The period between when Eiffel Tower is repainted.
What is a peripheral?
What is a program?
What is 7 years?*
What is secondary storage?
What is a system unit?
